2026-04-12 17:51:51.983 [info] Mapped {/system/user/profile, PUT} route
2026-04-12 17:51:51.983 [info] Mapped {/system/user/profile/avatar, POST} route
2026-04-12 17:51:51.984 [info] Mapped {/system/user/profile/updatePwd, PUT} route
2026-04-12 17:51:51.985 [info] Mapped {/system/user, POST} route
2026-04-12 17:51:51.985 [info] Mapped {/system/user/list, GET} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user/deptTree, GET} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user, GET} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user/authRole/:id, GET} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user/authRole, PUT} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user/:userId, GET} route
2026-04-12 17:51:51.986 [info] Mapped {/system/user/changeStatus, PUT} route
2026-04-12 17:51:51.987 [info] Mapped {/system/user, PUT} route
2026-04-12 17:51:51.987 [info] Mapped {/system/user/resetPwd, PUT} route
2026-04-12 17:51:51.987 [info] Mapped {/system/user/:id, DELETE} route
2026-04-12 17:51:51.987 [info] Mapped {/system/user/export, POST} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region, POST} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region/list, GET} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region/province-list, GET} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region/city-list, GET} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region/:id, GET} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region, PUT} route
2026-04-12 17:51:51.987 [info] Mapped {/system/region/:id, DELETE} route
2026-04-12 17:51:51.987 [info] Mapped {/system/shipping-template, POST} route
2026-04-12 17:51:51.987 [info] Mapped {/system/shipping-template, PUT} route
2026-04-12 17:51:51.987 [info] Mapped {/system/shipping-template/list, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/system/shipping-template/enums, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/system/shipping-template/:shippingTemplateId, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/system/shipping-template/:shippingTemplateId, DELETE} route
2026-04-12 17:51:51.988 [info] Mapped {/system/express/list, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job/list, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job/:jobId, GET} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job, POST} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job/changeStatus, PUT} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job, PUT} route
2026-04-12 17:51:51.988 [info] Mapped {/monitor/job/:jobIds, DELETE} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/job/run, PUT} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/job/export, POST} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/jobLog/list, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/jobLog/clean, DELETE} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/jobLog/export, POST} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/server, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache/getNames, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache/getKeys/:id, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache/getValue/:cacheName/:cacheKey, GET} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache/clearCacheName/:cacheName, DELETE} route
2026-04-12 17:51:51.989 [info] Mapped {/monitor/cache/clearCacheKey/:cacheKey, DELETE} route
2026-04-12 17:51:51.990 [info] Mapped {/monitor/cache/clearCacheAll, DELETE} route
2026-04-12 17:51:51.990 [info] Mapped {/monitor/logininfor/list, GET} route
2026-04-12 17:51:51.990 [info] Mapped {/monitor/logininfor/clean, DELETE} route
2026-04-12 17:51:51.990 [info] Mapped {/monitor/logininfor/:id, DELETE} route
2026-04-12 17:51:51.990 [info] Mapped {/monitor/logininfor/export, POST} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/online/list, GET} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/online/:token, DELETE} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/operlog/clean, DELETE} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/operlog/list, GET} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/operlog/:operId, GET} route
2026-04-12 17:51:51.991 [info] Mapped {/monitor/operlog/:operId, DELETE} route
